Term,Description
ACANTHOLYSIS,"Separation of the prickle cells of the stratum spinosum of the epidermis, resulting in atrophy of the prickle cell layer. It is seen in diseases such as pemphigus vulgaris (see PEMPHIGUS) and DARIER DISEASE.
    "
ACARI,"A large, subclass of arachnids comprising the MITES and TICKS, including parasites of plants, animals, and humans, as well as several important disease vectors.
    "
ACCELERATION,"An increase in the rate of speed.
    "
ACCIDENTS,"Unexpected and unintentional events, typically resulting in ACCIDENTAL INJURIES.
    "
ACCLIMATIZATION,"Adaptation to a new environment or to a change in the old.
    "
ACCOUNTING,"System of recording financial transactions.
    "
ACCREDITATION,"Certification as complying with a standard set by non-governmental organizations, applied for by institutions, programs, and facilities on a voluntary basis.
    "
ACCULTURATION,"Process of cultural change in which one group or members of a group assimilate various cultural patterns from another.
    "
ACEBUTOLOL,"A cardioselective beta-1 adrenergic antagonist with little effect on the bronchial receptors. The drug has stabilizing and quinidine-like effects on cardiac rhythm, as well as weak inherent sympathomimetic action.
    "
ACEDAPSONE,"Acetylated sulfone that is slowly metabolized to give long-term, low blood levels of DAPSONE. It has antimicrobial and antimalarial action, but is mainly used as a depot leprostatic agent.
    "
ACENAPHTHENES,"Tricyclic ethylene-bridged naphthalene derivatives. They are found in petroleum residues and coal tar and used as dye intermediates, in the manufacture of plastics, and in insecticides and fungicides.
    "
ACENOCOUMAROL,"A coumarin that is used as an anticoagulant. Its actions and uses are similar to those of WARFARIN. (From Martindale, The Extra Pharmacopoeia, 30th ed, p233)
    "
ACEPROMAZINE,"A phenothiazine that is used in the treatment of PSYCHOSES.
    "
ACETABULARIA,"A genus of green algae found in the Mediterranean and other warm seas.
    "
ACETABULUM,"The part of the pelvis that comprises the pelvic socket where the head of FEMUR joins to form HIP JOINT (acetabulofemoral joint).
    "
ACETALDEHYDE,"A colorless, flammable liquid used in the manufacture of acetic acid, perfumes, and flavors. It is also an intermediate in the metabolism of alcohol. It has a general narcotic action and also causes irritation of mucous membranes. Large doses may cause death from respiratory paralysis.
    "
ACETALS,"Diethers with the structure -C(OR'')(OR'''), where R'' and  R''' are not hydrogen. Mixed acetals have R'' and R''' groups which differ.
    "
ACETAMIDES,"Derivatives of acetamide that are used as solvents, as mild irritants, and in organic synthesis.
    "
ACETAMINOPHEN,"Analgesic antipyretic derivative of acetanilide. It has weak anti-inflammatory properties and is used as a common analgesic, but may cause liver, blood cell, and kidney damage.
    "
ACETANILIDES,"Compounds based on N-phenylacetamide, that are similar in structure to 2-PHENYLACETAMIDES. They are precursors of many other compounds. They were formerly used as ANALGESICS and ANTIPYRETICS, but often caused lethal METHEMOGLOBINEMIA.
    "
ACETATES,"Derivatives of ACETIC ACID. Included under this heading are a broad variety of acid forms, salts, esters, and amides that contain the carboxymethane structure.
    "
ACETAZOLAMIDE,"One of the CARBONIC ANHYDRASE INHIBITORS that is sometimes effective against absence seizures. It is sometimes useful also as an adjunct in the treatment of tonic-clonic, myoclonic, and atonic seizures, particularly in women whose seizures occur or are exacerbated at specific times in the menstrual cycle. However, its usefulness is transient often because of rapid development of tolerance. Its antiepileptic effect may be due to its inhibitory effect on brain carbonic anhydrase, which leads to an increased transneuronal chloride gradient, increased chloride current, and increased inhibition. (From Smith and Reynard, Textbook of Pharmacology, 1991, p337)
    "
ACETOACETATES,"Salts and derivatives of acetoacetic acid.
    "
ACETOBACTER,"A species of gram-negative bacteria of the family ACETOBACTERACEAE found in FLOWERS and FRUIT. Cells are ellipsoidal to rod-shaped and straight or slightly curved.
    "
ACETOHEXAMIDE,"A sulfonylurea hypoglycemic agent that is metabolized in the liver to 1-hydrohexamide.
    "
ACETOIN,"A product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide.
    "
ACETONE,"A colorless liquid used as a solvent and an antiseptic. It is one of the ketone bodies produced during ketoacidosis.
    "
ACETONITRILES,"Compounds in which a methyl group is attached to the cyano moiety.
    "
ACETOPHENONES,"Derivatives of the simplest aromatic ketone acetophenone (of general formula C6H5C(O)CH3).
    "
ACETOXYACETYLAMINOFLUORENE,"An alkylating agent that forms DNA ADDUCTS at the C-8 position in GUANINE, resulting in single strand breaks. It has demonstrated carcinogenic action.
    "
ACETYLATION,"Formation of an acetyl derivative. (Stedman, 25th ed)
    "
ACETYLCARNITINE,"An acetic acid ester of CARNITINE that facilitates movement of ACETYL COA into the matrices of mammalian MITOCHONDRIA during the oxidation of FATTY ACIDS.
    "
ACETYLCHOLINE,"A neurotransmitter found at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system.
    "
ACETYLCHOLINESTERASE,"An enzyme that catalyzes the hydrolysis of ACETYLCHOLINE to CHOLINE and acetate. In the CNS, this enzyme plays a role in the function of peripheral neuromuscular junctions. EC 3.1.1.7.
    "
ACETYLCYSTEINE,"The N-acetyl derivative of CYSTEINE. It is used as a mucolytic agent to reduce the viscosity of mucous secretions. It has also been shown to have antiviral effects in patients with HIV due to inhibition of viral stimulation by reactive oxygen intermediates.
    "
ACETYLDIGITOXINS,"Cardioactive derivatives of lanatoside A or of DIGITOXIN. They are used for fast digitalization in congestive heart failure.
    "
ACETYLDIGOXINS,"Alpha- or beta-acetyl derivatives of DIGOXIN or lanatoside C from Digitalis lanata. They are better absorbed and longer acting than digoxin and are used in congestive heart failure.
    "
ACETYLENE,"The simplest two carbon alkyne with the formula HCCH.
    "
ACETYLESTERASE,"An enzyme that catalyzes the conversion of acetate esters and water to alcohols and acetate. EC 3.1.1.6.
    "
ACETYLGALACTOSAMINE,"The N-acetyl derivative of galactosamine.
    "
ACETYLGLUCOSAMINE,"The N-acetyl derivative of glucosamine.
    "
ACETYLGLUCOSAMINIDASE,"A beta-N-Acetylhexosaminidase that catalyzes the hydrolysis of terminal, non-reducing 2-acetamido-2-deoxy-beta-glucose residues in chitobiose and higher analogs as well as in glycoproteins. Has been used widely in structural studies on bacterial cell walls and in the study of diseases such as MUCOLIPIDOSIS and various inflammatory disorders of muscle and connective tissue.
    "
ACECAINIDE,"A major metabolite of PROCAINAMIDE. Its anti-arrhythmic action may cause cardiac toxicity in kidney failure.
    "
ACETYLTHIOCHOLINE,"An agent used as a substrate in assays for cholinesterases, especially to discriminate among enzyme types.
    "
ACETYLTRANSFERASES,"Enzymes catalyzing the transfer of an acetyl group, usually from acetyl coenzyme A, to another compound. EC 2.3.1.
    "
ACHIEVEMENT,"Success in bringing an effort to the desired end; the degree or level of success attained in some specified area (esp. scholastic) or in general.
    "
ACHLORHYDRIA,"A lack of HYDROCHLORIC ACID in GASTRIC JUICE despite stimulation of gastric secretion.
    "
ACHOLEPLASMA,"A genus of gram-negative organisms including saprophytic and parasitic or pathogenic species.
    "
ACHOLEPLASMATACEAE,"Gram-negative organisms including apparently free-living saphrophytes as well as mammalian and avian parasites, and possibly pathogens.
    "
ACHONDROPLASIA,"An autosomal dominant disorder that is the most frequent form of short-limb dwarfism. Affected individuals exhibit short stature caused by rhizomelic shortening of the limbs, characteristic facies with frontal bossing and mid-face hypoplasia, exaggerated lumbar lordosis, limitation of elbow extension, GENU VARUM, and trident hand. (Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#100800, April 20, 2001)
    "
ACIDOSIS,"A pathologic condition of acid accumulation or depletion of base in the body. The two main types are RESPIRATORY ACIDOSIS and metabolic acidosis, due to metabolic acid build up.
    "
ACIDS,"Chemical compounds which yield hydrogen ions or protons when dissolved in water, whose hydrogen can be replaced by metals or basic radicals, or which react with bases to form salts and water (neutralization). An extension of the term includes substances dissolved in media other than water. (Grant & Hackh's Chemical Dictionary, 5th ed)
    "
ACINETOBACTER,"A genus of gram-negative bacteria of the family MORAXELLACEAE, found in soil and water and of uncertain pathogenicity.
    "
ACONITINE,"A C19 norditerpenoid alkaloid (DITERPENES) from the root of ACONITUM; DELPHINIUM and larkspurs. It activates VOLTAGE-GATED SODIUM CHANNELS. It has been used to induce ARRHYTHMIAS in experimental animals and it has anti-inflammatory and anti-neuralgic properties.
    "
ACOUSTICS,"The branch of physics that deals with sound and sound waves. In medicine it is often applied in procedures in speech and hearing studies. With regard to the environment, it refers to the characteristics of a room, auditorium, theatre, building, etc. that determines the audibility or fidelity of sounds in it. (From Random House Unabridged Dictionary, 2d ed)
    "
ACREMONIUM,"A mitosporic fungal genus with many reported ascomycetous teleomorphs. Cephalosporin antibiotics are derived from this genus.
    "
ACRIDINES,"Compounds that include the structure of acridine.
    "
ACRIFLAVINE,"3,6-Diamino-10-methylacridinium chloride mixt. with 3,6-acridinediamine. Fluorescent dye used as a local antiseptic and also as a biological stain. It intercalates into nucleic acids thereby inhibiting bacterial and viral replication.
    "
ACROCEPHALOSYNDACTYLIA,"Congenital craniostenosis with syndactyly.
    "
ACRODERMATITIS,"Inflammation involving the skin of the extremities, especially the hands and feet. Several forms are known, some idiopathic and some hereditary. The infantile form is called Gianotti-Crosti syndrome.
    "
ACRODYNIA,"A condition seen primarily in childhood, most often resulting from chronic exposure to MERCURY COMPOUNDS which may result in encephalopathy and POLYNEUROPATHY. Clinical features include pain, swelling and pinkish discoloration of the fingers and toes, weakness in the extremities, extreme irritability, HYPERESTHESIA, and alterations in level of consciousness. (From Menkes, Textbook of Child Neurology, 5th ed, p603)
    "
ACROLEIN,"Unsaturated three-carbon aldehyde.
    "
ACROMEGALY,"A condition caused by prolonged exposure to excessive HUMAN GROWTH HORMONE in adults. It is characterized by bony enlargement of the FACE; lower jaw (PROGNATHISM); hands; FEET; HEAD; and THORAX. The most common etiology is a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. (From Joynt, Clinical Neurology, 1992, Ch36, pp79-80)
    "
ACROMION,"The lateral extension of the spine of the SCAPULA and the highest point of the SHOULDER.
    "
ACRONINE,"A pyrano-acridone alkaloid found in RUTACEAE plants.
    "
ACROSIN,"A trypsin-like enzyme of spermatozoa which is not inhibited by alpha 1 antitrypsin.
    "
ACROSOME,"The cap-like structure covering the anterior portion of SPERM HEAD. Acrosome, derived from LYSOSOMES, is a membrane-bound organelle that contains the required hydrolytic and proteolytic enzymes necessary for sperm penetration of the egg in FERTILIZATION.
    "
ACRYLAMIDES,"Colorless, odorless crystals that are used extensively in research laboratories for the preparation of polyacrylamide gels for electrophoresis and in organic synthesis, and polymerization. Some of its polymers are used in sewage and wastewater treatment, permanent press fabrics, and as soil conditioning agents.
    "
ACRYLATES,"Derivatives of acrylic acid (the structural formula CH2=CHCO2H), including its salts and esters.
    "
ACRYLONITRILE,"A highly poisonous compound used widely in the manufacture of plastics, adhesives and synthetic rubber.
    "
ACTIHAEMYL,"An extract from calf blood containing inorganic salts, amino acids, polypeptides and purines, but no proteins nor antigenic substances or blood group characteristics. Its exact composition is unknown. It has been proposed as a radiation-protective agent.
    "
ACTININ,"A protein factor that regulates the length of R-actin. It is chemically similar, but immunochemically distinguishable from actin.
    "
ACTINIUM,"A trivalent radioactive element and the prototypical member of the actinide family. It has the atomic symbol Ac, and atomic number 89. Its principal isotope is 227 and it decays primarily by beta-emission.
    "
ACTINOBACILLOSIS,"A disease characterized by suppurative and granulomatous lesions in the respiratory tract, upper alimentary tract, skin, kidneys, joints, and other tissues. Actinobacillus lignieresii infects cattle and sheep while A. equuli infects horses and pigs.
    "
ACTINOBACILLUS,"A genus of PASTEURELLACEAE described as gram-negative, nonsporeforming, nonmotile, facultative anaerobes. Most members are found both as pathogens and commensal organisms in the respiratory, alimentary, and genital tracts of animals.
    "
ACTINOMYCES,"A genus of gram-positive, rod-shaped bacteria whose organisms are nonmotile. Filaments that may be present in certain species are either straight or wavy and may have swollen or clubbed heads.
    "
ACTINOMYCETACEAE,"A family of bacteria including numerous parasitic and pathogenic forms.
    "
ACTINOMYCETALES,"An order of gram-positive, primarily aerobic BACTERIA that tend to form branching filaments.
    "
ACTINOMYCOSIS,"Infections with bacteria of the genus ACTINOMYCES.
    "
SPECTINOMYCIN,"An antibiotic produced by Streptomyces spectabilis. It is active against gram-negative bacteria and used for the treatment of GONORRHEA.
    "
ACTINS,"Filamentous proteins that are the main constituent of the thin filaments of muscle fibers. The filaments (known also as filamentous or F-actin) can be dissociated into their globular subunits; each subunit is composed of a single polypeptide 375 amino acids long. This is known as globular or G-actin. In conjunction with MYOSINS, actin is responsible for the contraction and relaxation of muscle.
    "
ACTOMYOSIN,"A protein complex of actin and MYOSINS occurring in muscle. It is the essential contractile substance of muscle.
    "
ACYCLOVIR,"A GUANOSINE analog that acts as an antimetabolite. Viruses are especially susceptible. Used especially against herpes.
    "
ACYLATION,"The addition of an organic acid radical into a molecule.
    "
ACYLTRANSFERASES,"Enzymes from the transferase class that catalyze the transfer of acyl groups from donor to acceptor, forming either esters or amides. (From Enzyme Nomenclature 1992) EC 2.3.
    "
ADAMANTANE,"A tricyclo bridged hydrocarbon.
    "
ADENINE,"A purine base and a fundamental unit of ADENINE NUCLEOTIDES.
    "
DEPENDOVIRUS,"A genus of the family PARVOVIRIDAE, subfamily PARVOVIRINAE, which are dependent on a coinfection with helper adenoviruses or herpesviruses for their efficient replication. The type species is Adeno-associated virus 2.
    "
ADENOCARCINOMA,"A malignant epithelial tumor with a glandular organization.
    "
ADENOFIBROMA,"A benign neoplasm composed of glandular and fibrous tissues, with a relatively large proportion of glands. (Stedman, 25th ed)
    "
ADENOIDECTOMY,"Excision of the adenoids. (Dorland, 28th ed)
    "
ADENOIDS,"A collection of lymphoid nodules on the posterior wall and roof of the NASOPHARYNX.
    "
ADENOLYMPHOMA,"A benign tumor characterized histologically by tall columnar epithelium within a lymphoid tissue stroma. It is usually found in the salivary glands, especially the parotid.
    "
ADENOMA,"A benign epithelial tumor with a glandular organization.
    "
ADENOSINE,"A nucleoside that is composed of ADENINE and D-RIBOSE. Adenosine or adenosine derivatives play many important biological roles in addition to being components of DNA and RNA. Adenosine itself is a neurotransmitter.
    "
ADENOVIRIDAE,"A family of non-enveloped viruses infecting mammals (MASTADENOVIRUS) and birds (AVIADENOVIRUS) or both (ATADENOVIRUS). Infections may be asymptomatic or result in a variety of diseases.
    "
AVIADENOVIRUS,"A genus of ADENOVIRIDAE that infects birds. The type species is FOWL ADENOVIRUS A.
    "
ADHESIVENESS,"A property of the surface of an object that makes it stick to another surface.
    "
ADHESIVES,"Substances that cause the adherence of two surfaces. They include glues (properly collagen-derived adhesives), mucilages, sticky pastes, gums, resins, or latex.
    "
ADIPATES,"Derivatives of adipic acid. Included under this heading are a broad variety of acid forms, salts, esters, and amides that contain a 1,6-carboxy terminated aliphatic structure.
    "
ADNEXITIS,"Inflammation of the uterine appendages (ADNEXA UTERI) including infection of the FALLOPIAN TUBES (SALPINGITIS), the ovaries (OOPHORITIS), or the supporting ligaments (PARAMETRITIS).
    "
ADOLESCENT,"A person 13 to 18 years of age.
    "
ADOLESCENCE,"The period of life beginning with the appearance of secondary sex characteristics and terminating with the cessation of somatic growth. The years usually referred to as adolescence lie between 13 and 18 years of age.
    "
ADOPTION,"Voluntary acceptance of a child of other parents to be as one's own child, usually with legal confirmation.
    "
ADOSTEROL,"A sterol usually substituted with radioactive iodine. It is an adrenal cortex scanning agent with demonstrated high adrenal concentration and superior adrenal imaging.
    "
ADRENALECTOMY,"Excision of one or both adrenal glands. (From Dorland, 28th ed)
    "
ADRENOCHROME,"Pigment obtained by the oxidation of epinephrine.
    "
ADRENODOXIN,"An iron-sulfur protein which serves as an electron carrier in enzymatic steroid hydroxylation reactions in adrenal cortex mitochondria. The electron transport system which catalyzes this reaction consists of adrenodoxin reductase, NADP, adrenodoxin, and cytochrome P-450.
    "
ADRENOLEUKODYSTROPHY,"An X-linked recessive disorder characterized by the accumulation of saturated very long chain fatty acids in the LYSOSOMES of ADRENAL CORTEX and the white matter of CENTRAL NERVOUS SYSTEM. This disease occurs almost exclusively in the males. Clinical features include the childhood onset of ATAXIA; NEUROBEHAVIORAL MANIFESTATIONS; HYPERPIGMENTATION; ADRENAL INSUFFICIENCY; SEIZURES; MUSCLE SPASTICITY; and DEMENTIA. The slowly progressive adult form is called adrenomyeloneuropathy. The defective gene ABCD1 is located at Xq28, and encodes the adrenoleukodystrophy protein (ATP-BINDING CASSETTE TRANSPORTERS).
    "
ADSORPTION,"The adhesion of gases, liquids, or dissolved solids onto a surface. It includes adsorptive phenomena of bacteria and viruses onto surfaces as well. ABSORPTION into the substance may follow but not necessarily.
    "
ADULT,"A person having attained full growth or maturity. Adults are of 19 through 44 years of age. For a person between 19 and 24 years of age, YOUNG ADULT is available.
    "
ADVERTISING,"Works about the act or practice of calling public attention to a product, service, need, etc., especially by paid announcements in newspapers, magazines, on radio, or on television. (Random House Unabridged Dictionary, 2d ed)
    "
AEDES,"A genus of mosquitoes (CULICIDAE) frequently found in tropical and subtropical regions. YELLOW FEVER and DENGUE are two of the diseases that can be transmitted by species of this genus.
    "
AEQUORIN,"A photoprotein isolated from the bioluminescent jellyfish Aequorea. It emits visible light by an intramolecular reaction when a trace amount of calcium ion is added. The light-emitting moiety in the bioluminescence reaction is believed to be 2-amino-3-benzyl-5-(p-hydroxyphenyl)pyrazine (AF-350).
    "
AEROBIOSIS,"Life or metabolic reactions occurring in an environment containing oxygen.
    "
AEROMONAS,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that occurs singly, in pairs, or in short chains. Its organisms are found in fresh water and sewage and are pathogenic to humans, frogs, and fish.
    "
AEROPHAGY,"Spasmodic swallowing of air.
    "
AEROSOLS,"Colloids with a gaseous dispersing phase and either liquid (fog) or solid (smoke) dispersed phase; used in fumigation or in inhalation therapy; may contain propellant agents.
    "
IXECUR,"Tradename for beta-Aminoethylisothiuronium Bromide
    "
AFFECT,"The feeling-tone accompaniment of an idea or mental representation. It is the most direct psychic derivative of instinct and the psychic representative of the various bodily changes by means of which instincts manifest themselves.
    "
AFGHANISTAN,"Country located north and west of Pakistan, and east of Iran. The capital is Kabul.
    "
AFIBRINOGENEMIA,"A deficiency or absence of FIBRINOGEN in the blood.
    "
AFLATOXINS,"Furano-furano-benzopyrans that are produced by ASPERGILLUS from STERIGMATOCYSTIN. They are structurally related to COUMARINS and easily oxidized to an epoxide form to become ALKYLATING AGENTS. Members of the group include AFLATOXIN B1; aflatoxin B2, aflatoxin G1, aflatoxin G2; AFLATOXIN M1; and aflatoxin M2.
    "
AFRICA,"The continent south of EUROPE, east of the ATLANTIC OCEAN and west of the INDIAN OCEAN.
    "
AFTERCARE,"The care and treatment of a convalescent patient, especially that of a patient after surgery.
    "
AFTERIMAGE,"Continuation of visual impression after cessation of stimuli causing the original image.
    "
AGAMMAGLOBULINEMIA,"An immunologic deficiency state characterized by an extremely low level of generally all classes of gamma-globulin in the blood.
    "
AGAR,"A complex sulfated polymer of galactose units, extracted from Gelidium cartilagineum, Gracilaria confervoides, and related red algae. It is used as a gel in the preparation of solid culture media for microorganisms, as a bulk laxative, in making emulsions, and as a supporting medium for immunodiffusion and immunoelectrophoresis.
    "
AGARICALES,"An extensive order of basidiomycetous fungi whose fruiting bodies are commonly called mushrooms.
    "
AGARICUS,"A basidiomycetous fungal genus of the family Agaricaceae, order Agaricales, which includes the field mushroom (A. campestris) and the commercial mushroom (A. bisporus).
    "
AGED,"A person 65 years of age or older. For a person older than 79 years, AGED, 80 AND OVER is available.
    "
AGEUSIA,"Complete or severe loss of the subjective sense of taste, frequently accompanied by OLFACTION DISORDERS.
    "
AGGLUTINATION,"The clumping together of suspended material resulting from the action of AGGLUTININS.
    "
AGGLUTININS,"A substance that makes particles (such as bacteria or cells) stick together to form a clump or a mass.
    "
AGGRESSION,"Behavior which may be manifested by destructive and attacking action which is verbal or physical, by covert attitudes of hostility or by obstructionism.
    "
AGING,"The gradual irreversible changes in structure and function of an organism that occur as a result of the passage of time.
    "
AGMATINE,"Decarboxylated arginine, isolated from several plant and animal sources, e.g., pollen, ergot, herring sperm, octopus muscle.
    "
AGNOSIA,"Loss of the ability to comprehend the meaning or recognize the importance of various forms of stimulation that cannot be attributed to impairment of a primary sensory modality. Tactile agnosia is characterized by an inability to perceive the shape and nature of an object by touch alone, despite unimpaired sensation to light touch, position, and other primary sensory modalities.
    "
ANOSOGNOSIA,"A condition in which a person who suffers illness or disability seems unaware of or denies the existence of the illness or disability.
    "
AGORAPHOBIA,"Obsessive, persistent, intense fear of places or situations from which escape might be difficult or embarrassing.
    "
AGRANULOCYTOSIS,"A decrease in the number of GRANULOCYTES; (BASOPHILS; EOSINOPHILS; and NEUTROPHILS).
    "
AGRAPHIA,"Loss or impairment of the ability to write (letters, syllables, words, or phrases) due to an injury to a specific cerebral area or occasionally due to emotional factors. This condition rarely occurs in isolation, and often accompanies APHASIA. (From Adams et al., Principles of Neurology, 6th ed, p485; APA, Thesaurus of Psychological Index Terms, 1994)
    "
DYSGRAPHIA,"Some authorities use this term interchangeably with Agraphia and some do not.
    "
AGRICULTURE,"The science, art or practice of cultivating soil, producing crops, and raising livestock.
    "
AINHUM,"Spontaneous autoamputation of the fourth or fifth toe.
    "
AIR,"The mixture of gases present in the earth's atmosphere consisting of oxygen, nitrogen, carbon dioxide, and small amounts of other gases.
    "
AIRCRAFT,"A weight-carrying structure for navigation of the air that is supported either by its own buoyancy or by the dynamic action of the air against its surfaces. (Webster, 1973)
    "
AJMALINE,"An alkaloid found in the root of RAUWOLFIA SERPENTINA, among other plant sources. It is a class 1-A antiarrhythmic agent that apparently acts by changing the shape and threshold of cardiac action potentials.
    "
ALABAMA,"A state in the southeastern region of the United States. The capital is Montgomery.
    "
ALAMETHICIN,"A cyclic nonadecapeptide antibiotic that can act as an ionophore and is produced by strains of Trichoderma viride. (From Singleton & Sainsbury, Dictionary of Microbiology and Molecular Biology, 2d ed)
    "
ALANINE,"A non-essential amino acid that occurs in high levels in its free state in plasma. It is produced from pyruvate by transamination. It is involved in sugar and acid metabolism, increases IMMUNITY, and provides energy for muscle tissue, BRAIN, and the CENTRAL NERVOUS SYSTEM.
    "
ALASKA,"State of the UNITED STATES OF AMERICA bounded on the east by Canada and on the north, west, and south by the Pacific Ocean and the Bering Sea.
    "
ALBANIA,"A country in Europe, on the Adriatic Sea. The capital is Tirana
    "
ALBERTA,"A province of western Canada, lying between the provinces of British Columbia and Saskatchewan. Its capital is Edmonton. It was named in honor of Princess Louise Caroline Alberta, the fourth daughter of Queen Victoria. (From Webster's New Geographical Dictionary, 1988, p26 & Room, Brewer's Dictionary of Names, 1992, p12)
    "
ALBINISM,"General term for a number of inherited defects of amino acid metabolism in which there is a deficiency or absence of pigment in the eyes, skin, or hair.
    "
ALBUMINS,"Water-soluble proteins found in egg whites, blood, lymph, and other tissues and fluids. They coagulate upon heating.
    "
ALBUMINURIA,"The presence of albumin in the urine, an indicator of KIDNEY DISEASES.
    "
ALBUTEROL,"A short-acting beta-2 adrenergic agonist that is primarily used as a bronchodilator agent to treat ASTHMA. Albuterol is prepared as a racemic mixture of R(-) and S(+) stereoisomers. The stereospecific preparation of R(-) isomer of albuterol is referred to as levalbuterol.
    "
ALCALIGENES,"A genus of gram-negative, aerobic, motile bacteria that occur in water and soil. Some are common inhabitants of the intestinal tract of vertebrates. These bacteria occasionally cause opportunistic infections in humans.
    "
ALCHEMY,"Form of chemistry concerned with discovering methods for transmuting base metals into gold and with finding an elixir for eternal youth.
    "
ETHANOL,"A clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in ALCOHOLIC BEVERAGES.
    "
METHANOL,"A colorless, flammable liquid used in the manufacture of FORMALDEHYDE and ACETIC ACID, in chemical synthesis, antifreeze, and as a solvent. Ingestion of methanol is toxic and may cause blindness.
    "
ALCOHOLISM,"A primary, chronic disease with genetic, psychosocial, and environmental factors influencing its development and manifestations. The disease is often progressive and fatal. It is characterized by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse consequences, and distortions in thinking, most notably denial. Each of these symptoms may be continuous or periodic. (Morse & Flavin for the Joint Commission of the National Council on Alcoholism and Drug Dependence and the American Society of Addiction Medicine to Study the Definition and Criteria for the Diagnosis of Alcoholism: in JAMA 1992;268:1012-4)
    "
ALCOHOLS,"Alkyl compounds containing a hydroxyl group. They are classified according to relation of the carbon atom: primary alcohols, R-CH2OH; secondary alcohols, R2-CHOH; tertiary alcohols, R3-COH. (From Grant & Hackh's Chemical Dictionary, 5th ed)
    "
PENTANOLS,"Isomeric forms and derivatives of pentanol (C5H11OH).
    "
BUTANOLS,"Isomeric forms and derivatives of butanol (C4H9OH).
    "
HEXANOLS,"Isomeric forms and derivatives of hexanol (C6H11OH).
    "
OCTANOLS,"Isomeric forms and derivatives of octanol (C8H17OH).
    "
ALCURONIUM,"A non-depolarizing skeletal muscle relaxant similar to TUBOCURARINE. It is used as an anesthesia adjuvant.
    "
ALDEHYDES,"Organic compounds containing a carbonyl group in the form -CHO.
    "
ALDICARB,"Carbamate derivative used as an insecticide, acaricide, and nematocide.
    "
ALDOSTERONE,"A hormone secreted by the ADRENAL CORTEX that regulates electrolyte and water balance by increasing the renal retention of sodium and the excretion of potassium.
    "
ALDRIN,"A highly poisonous substance that was formerly used as an insecticide. The manufacture and use has been discontinued in the U.S. (From Merck Index, 11th ed)
    "
